dt,t,Psi,log10_Psi,|zeta|^2,U_term^2
-0.1,14.03472514,0.00618488,-2.208668727,0.00618488,8.71E-30
-0.099,14.03572514,0.006062868,-2.217321922,0.006062868,1.47E-29
-0.098,14.03672514,0.005942049,-2.226063796,0.005942049,8.71E-30
-0.097,14.03772514,0.005822424,-2.234896164,0.005822424,9.48E-29
-0.096,14.03872514,0.005703994,-2.243820903,0.005703994,7.31E-30
-0.095,14.03972514,0.005586761,-2.252839945,0.005586761,4.75E-31
-0.094,14.04072514,0.005470723,-2.261955285,0.005470723,2.47E-30
-0.093,14.04172514,0.005355882,-2.271168982,0.005355882,3.72E-29
-0.092,14.04272514,0.005242239,-2.280483162,0.005242239,3.31E-30
-0.091,14.04372514,0.005129795,-2.28990002,0.005129795,4.75E-31
-0.09,14.04472514,0.005018549,-2.299421825,0.005018549,6.99E-29
-0.089,14.04572514,0.004908503,-2.309050919,0.004908503,3.31E-30
-0.088,14.04672514,0.004799658,-2.318789728,0.004799658,1.47E-29
-0.087,14.04772514,0.004692013,-2.328640757,0.004692013,4.75E-31
-0.086,14.04872514,0.004585571,-2.3386066,0.004585571,5.22E-29
-0.085,14.04972514,0.004480331,-2.348689942,0.004480331,2.47E-30
-0.084,14.05072514,0.004376293,-2.358893562,0.004376293,2.47E-30
-0.083,14.05172514,0.00427346,-2.369220342,0.00427346,2.72E-29
-0.082,14.05272514,0.004171831,-2.379673264,0.004171831,1.47E-29
-0.081,14.05372514,0.004071408,-2.390255424,0.004071408,8.71E-30
-0.08,14.05472514,0.00397219,-2.400970031,0.00397219,9.48E-29
-0.079,14.05572514,0.003874178,-2.411820416,0.003874178,3.31E-30
-0.078,14.05672514,0.003777374,-2.422810038,0.003777374,2.47E-29
-0.077,14.05772514,0.003681777,-2.433942488,0.003681777,6.99E-29
-0.076,14.05872514,0.003587389,-2.445221499,0.003587389,2.47E-30
-0.075,14.05972514,0.00349421,-2.456650953,0.00349421,2.72E-29
-0.074,14.06072514,0.003402241,-2.468234887,0.003402241,1.67E-29
-0.073,14.06172514,0.003311483,-2.479977503,0.003311483,2.47E-30
-0.072,14.06272514,0.003221935,-2.491883179,0.003221935,3.72E-29
-0.071,14.06372514,0.0031336,-2.503956473,0.0031336,4.02E-29
-0.07,14.06472514,0.003046477,-2.516202139,0.003046477,3.72E-29
-0.069,14.06572514,0.002960567,-2.528625137,0.002960567,9.48E-29
-0.068,14.06672514,0.002875871,-2.541230644,0.002875871,2.72E-29
-0.067,14.06772514,0.002792389,-2.554024064,0.002792389,1.47E-29
-0.066,14.06872514,0.002710123,-2.56701105,0.002710123,2.47E-30
-0.065,14.06972514,0.002629072,-2.58019751,0.002629072,1.47E-29
-0.064,14.07072514,0.002549238,-2.593589628,0.002549238,5.22E-29
-0.063,14.07172514,0.002470621,-2.607193881,0.002470621,5.59E-29
-0.062,14.07272514,0.002393222,-2.621017055,0.002393222,4.75E-31
-0.061,14.07372514,0.002317041,-2.635066269,0.002317041,9.48E-29
-0.06,14.07472514,0.002242079,-2.649348994,0.002242079,8.71E-30
-0.059,14.07572514,0.002168338,-2.663873078,0.002168338,3.72E-29
-0.058,14.07672514,0.002095816,-2.678646771,0.002095816,9.48E-29
-0.057,14.07772514,0.002024516,-2.693678754,0.002024516,7.31E-30
-0.056,14.07872514,0.001954438,-2.70897817,0.001954438,1.67E-29
-0.055,14.07972514,0.001885582,-2.724554654,0.001885582,3.31E-30
-0.054,14.08072514,0.001817949,-2.740418373,0.001817949,1.67E-29
-0.053,14.08172514,0.001751539,-2.756580064,0.001751539,2.72E-29
-0.052,14.08272514,0.001686355,-2.773051078,0.001686355,4.02E-29
-0.051,14.08372514,0.001622395,-2.789843425,0.001622395,1.67E-29
-0.05,14.08472514,0.001559661,-2.806969831,0.001559661,1.47E-29
-0.049,14.08572514,0.001498153,-2.824443794,0.001498153,1.95E-31
-0.048,14.08672514,0.001437872,-2.842279644,0.001437872,2.72E-29
-0.047,14.08772514,0.001378819,-2.860492618,0.001378819,2.72E-29
-0.046,14.08872514,0.001320995,-2.879098936,0.001320995,1.67E-29
-0.045,14.08972514,0.001264399,-2.898115889,0.001264399,2.47E-29
-0.044,14.09072514,0.001209033,-2.917561932,0.001209033,2.47E-29
-0.043,14.09172514,0.001154897,-2.937456792,0.001154897,4.02E-29
-0.042,14.09272514,0.001101992,-2.957821592,0.001101992,1.47E-29
-0.041,14.09372514,0.001050319,-2.978678979,0.001050319,2.47E-29
-0.04,14.09472514,0.000999877,-3.000053281,0.000999877,3.31E-30
-0.039,14.09572514,0.000950669,-3.021970672,0.000950669,7.31E-30
-0.038,14.09672514,0.000902694,-3.044459366,0.000902694,7.31E-30
-0.037,14.09772514,0.000855953,-3.067549835,0.000855953,8.71E-30
-0.036,14.09872514,0.000810448,-3.091275056,0.000810448,7.40E-29
-0.035,14.09972514,0.000766177,-3.115670794,0.000766177,4.02E-29
-0.034,14.10072514,0.000723143,-3.140775926,0.000723143,8.71E-30
-0.033,14.10172514,0.000681345,-3.166632807,0.000681345,7.31E-30
-0.032,14.10272514,0.000640785,-3.193287709,0.000640785,9.00E-29
-0.031,14.10372514,0.000601463,-3.220791307,0.000601463,1.47E-29
-0.03,14.10472514,0.000563379,-3.249199266,0.000563379,4.75E-31
-0.029,14.10572514,0.000526535,-3.278572911,0.000526535,2.47E-30
-0.028,14.10672514,0.00049093,-3.308980026,0.00049093,1.67E-29
-0.027,14.10772514,0.000456567,-3.340495793,0.000456567,7.31E-30
-0.026,14.10872514,0.000423444,-3.37320391,0.000423444,1.95E-31
-0.025,14.10972514,0.000391563,-3.407197924,0.000391563,1.67E-29
-0.024,14.11072514,0.000360925,-3.442582844,0.000360925,1.47E-29
-0.023,14.11172514,0.00033153,-3.479477092,0.00033153,3.31E-30
-0.022,14.11272514,0.000303379,-3.518014891,0.000303379,5.59E-29
-0.021,14.11372514,0.000276472,-3.558349202,0.000276472,5.59E-29
-0.02,14.11472514,0.00025081,-3.600655391,0.00025081,5.59E-29
-0.019,14.11572514,0.000226394,-3.645135821,0.000226394,2.47E-29
-0.018,14.11672514,0.000203224,-3.692025705,0.000203224,1.67E-29
-0.017,14.11772514,0.000181301,-3.741600616,0.000181301,8.71E-30
-0.016,14.11872514,0.000160625,-3.794186288,0.000160625,9.00E-29
-0.015,14.11972514,0.000141198,-3.850171581,0.000141198,1.67E-29
-0.014,14.12072514,0.00012302,-3.910025924,0.00012302,2.72E-29
-0.013,14.12172514,0.000106091,-3.974323239,0.000106091,2.47E-29
-0.012,14.12272514,9.04E-05,-4.04377545,9.04E-05,2.47E-29
-0.011,14.12372514,7.60E-05,-4.119280622,7.60E-05,8.71E-30
-0.01,14.12472514,6.28E-05,-4.201994093,6.28E-05,1.95E-31
-0.009,14.12572514,5.09E-05,-4.293437226,5.09E-05,3.72E-29
-0.008,14.12672514,4.02E-05,-4.395670475,4.02E-05,1.47E-29
-0.007,14.12772514,3.08E-05,-4.511582623,3.08E-05,1.95E-31
