n,t,zeta_sq,J_diff,Psi
1,1.41E+01,4.45E-31,0.00E+00,4.45E-31
2,2.10E+01,1.35E-30,0.00E+00,1.35E-30
3,2.50E+01,7.22E-31,0.00E+00,7.22E-31
4,3.04E+01,1.12E-30,0.00E+00,1.12E-30
5,3.29E+01,7.56E-30,0.00E+00,7.56E-30
6,3.76E+01,4.44E-29,0.00E+00,4.44E-29
7,4.09E+01,2.30E-29,0.00E+00,2.30E-29
8,4.33E+01,1.86E-29,0.00E+00,1.86E-29
9,4.80E+01,4.00E-30,0.00E+00,4.00E-30
10,4.98E+01,6.00E-30,0.00E+00,6.00E-30
11,5.30E+01,5.69E-29,0.00E+00,5.69E-29
12,5.64E+01,6.07E-29,0.00E+00,6.07E-29
13,5.93E+01,7.35E-31,0.00E+00,7.35E-31
14,6.08E+01,4.10E-32,0.00E+00,4.10E-32
15,6.51E+01,9.26E-29,0.00E+00,9.26E-29
16,6.71E+01,1.12E-28,0.00E+00,1.12E-28
17,6.95E+01,1.55E-28,0.00E+00,1.55E-28
18,7.21E+01,6.30E-29,0.00E+00,6.30E-29
19,7.57E+01,1.57E-28,0.00E+00,1.57E-28
20,7.71E+01,7.33E-29,0.00E+00,7.33E-29
21,7.93E+01,4.01E-31,0.00E+00,4.01E-31
22,8.29E+01,1.88E-29,0.00E+00,1.88E-29
23,8.47E+01,7.41E-30,0.00E+00,7.41E-30
24,8.74E+01,5.77E-29,0.00E+00,5.77E-29
25,8.88E+01,2.17E-28,0.00E+00,2.17E-28
26,9.25E+01,4.37E-28,0.00E+00,4.37E-28
27,9.47E+01,1.57E-30,0.00E+00,1.57E-30
28,9.59E+01,9.96E-30,0.00E+00,9.96E-30
29,9.88E+01,3.25E-28,0.00E+00,3.25E-28
30,1.01E+02,4.69E-28,0.00E+00,4.69E-28
31,1.04E+02,1.06E-29,0.00E+00,1.06E-29
32,1.05E+02,1.06E-28,0.00E+00,1.06E-28
33,1.07E+02,4.19E-28,0.00E+00,4.19E-28
34,1.11E+02,1.62E-29,0.00E+00,1.62E-29
35,1.12E+02,1.08E-31,0.00E+00,1.08E-31
36,1.14E+02,1.32E-28,0.00E+00,1.32E-28
37,1.16E+02,2.73E-30,0.00E+00,2.73E-30
38,1.19E+02,4.74E-28,0.00E+00,4.74E-28
39,1.21E+02,9.48E-29,0.00E+00,9.48E-29
40,1.23E+02,8.22E-29,0.00E+00,8.22E-29
41,1.24E+02,4.77E-29,0.00E+00,4.77E-29
42,1.28E+02,2.57E-28,0.00E+00,2.57E-28
43,1.30E+02,9.68E-28,0.00E+00,9.68E-28
44,1.31E+02,5.36E-28,0.00E+00,5.36E-28
45,1.33E+02,7.19E-28,0.00E+00,7.19E-28
46,1.35E+02,2.11E-28,0.00E+00,2.11E-28
47,1.38E+02,3.22E-28,0.00E+00,3.22E-28
48,1.40E+02,6.99E-30,0.00E+00,6.99E-30
49,1.41E+02,3.15E-28,0.00E+00,3.15E-28
50,1.43E+02,7.91E-28,0.00E+00,7.91E-28
51,1.46E+02,1.09E-27,0.00E+00,1.09E-27
52,1.47E+02,1.23E-27,0.00E+00,1.23E-27
53,1.50E+02,1.65E-29,0.00E+00,1.65E-29
54,1.51E+02,4.25E-32,0.00E+00,4.25E-32
