k,t_k_actual,t_k_reversed,error,e_k,J_inf
1,14.13472514,14.13472514,1.26E-16,0.279679532,0.091866726
2,21.02203964,21.02203964,0,0.231019727,0.091866726
3,25.01085758,25.01085758,0,0.212295744,0.091866726
4,30.42487613,30.42487613,1.17E-16,0.192901924,0.091866726
5,32.93506159,32.93506159,2.16E-16,0.18554625,0.091866726
6,37.58617816,37.58617816,1.89E-16,0.17388439,0.091866726
7,40.91871901,40.91871901,1.74E-16,0.166761897,0.091866726
8,43.32707328,43.32707328,1.64E-16,0.162126943,0.091866726
9,48.00515088,48.00515088,0,0.154128599,0.091866726
10,49.77383248,49.77383248,1.43E-16,0.151398849,0.091866726
11,52.97032148,52.97032148,0,0.14681274,0.091866726
12,56.4462477,56.4462477,0,0.142269794,0.091866726
13,59.347044,59.347044,1.20E-16,0.138784955,0.091866726
14,60.83177852,60.83177852,1.17E-16,0.137097542,0.091866726
15,65.11254405,65.11254405,0,0.132556701,0.091866726
16,67.07981053,67.07981053,2.12E-16,0.130615886,0.091866726
17,69.54640171,69.54640171,2.04E-16,0.128298769,0.091866726
18,72.06715767,72.06715767,0,0.12605372,0.091866726
19,75.7046907,75.7046907,1.88E-16,0.123012274,0.091866726
20,77.14484007,77.14484007,0,0.121867526,0.091866726
21,79.33737502,79.33737502,0,0.120184481,0.091866726
22,82.91038085,82.91038085,0,0.117585116,0.091866726
23,84.73549298,84.73549298,0,0.116320791,0.091866726
24,87.42527461,87.42527461,0,0.114529649,0.091866726
25,88.80911121,88.80911121,0,0.113639794,0.091866726
26,92.49189927,92.49189927,0,0.111369072,0.091866726
27,94.65134404,94.65134404,0,0.110099294,0.091866726
28,95.87063423,95.87063423,0,0.109401245,0.091866726
29,98.83119422,98.83119422,0,0.107760076,0.091866726
30,101.317851,101.317851,0,0.106437234,0.091866726
31,103.725538,103.725538,1.37E-16,0.105201736,0.091866726
32,105.4466231,105.4466231,1.35E-16,0.104344476,0.091866726
33,107.1686112,107.1686112,0,0.103507401,0.091866726
34,111.0295355,111.0295355,1.28E-16,0.101701473,0.091866726
35,111.8746592,111.8746592,0,0.101318628,0.091866726
36,114.3202209,114.3202209,0,0.10023467,0.091866726
37,116.2266803,116.2266803,1.22E-16,0.099413376,0.091866726
38,117.4957174,117.4957174,0,0.098877742,0.091866726
39,120.7897114,120.7897114,1.18E-16,0.097526826,0.091866726
40,121.370805,121.370805,0,0.097294207,0.091866726
41,122.9468293,122.9468293,1.16E-16,0.096671589,0.091866726
42,124.2568186,124.2568186,1.14E-16,0.096163066,0.091866726
43,127.5166839,127.5166839,0,0.094931654,0.091866726
44,129.5787042,129.5787042,0,0.094176725,0.091866726
45,131.0876881,131.0876881,0,0.093635542,0.091866726
46,133.4977372,133.4977372,0,0.092790222,0.091866726
47,134.7565098,134.7565098,0,0.092357713,0.091866726
48,138.1160421,138.1160421,0,0.091232356,0.091866726
49,139.736209,139.736209,0,0.090704143,0.091866726
50,141.1237074,141.1237074,0,0.090259005,0.091866726
51,143.1118458,143.1118458,0,0.089632441,0.091866726
52,144.8317415,144.8317415,1.96E-16,0.089100812,0.091866726
53,147.4223041,147.4223041,0,0.088317614,0.091866726
54,150.053596,150.053596,0,0.087542874,0.091866726
55,150.7280921,150.7280921,0,0.087347541,0.091866726
56,152.1524351,152.1524351,1.87E-16,0.086939312,0.091866726
57,153.6936796,153.6936796,0,0.086503963,0.091866726
